month,dow,hour,num_trips,trip_dur,age
5,5,22,818,16.24,32.68
5,5,23,525,32.08,33.44
5,6,0,245,16.04,33.21
5,6,1,152,20.54,32.01
5,6,2,81,18.97,33.63
5,6,3,39,22.34,37.9
5,6,4,47,20.1,38.85
5,6,5,138,131.05,35.09
5,6,6,697,30.89,37.86
5,6,7,1833,13.21,37.57
5,6,8,3760,16.11,35.42
5,6,9,2538,27.43,34.66
5,6,10,1364,55.25,35.31
5,6,11,1449,41.13,36.06
5,6,12,1707,26.26,36.11
5,6,13,1821,39.23,36.42
5,6,14,1666,27.1,36.21
5,6,15,1792,29.96,35.99
5,6,16,2622,17.66,36.41
5,6,17,3901,15.58,35.59
5,6,18,3300,18.09,34.08
5,6,19,2488,17.97,33.53
5,6,20,1729,26.24,32.85
5,6,21,1246,44.18,32.93
5,6,22,975,18.93,34.19
5,6,23,733,45.32,33.61
5,7,0,370,27.64,33.49
5,7,1,334,19.44,33.84
5,7,2,246,24.86,35.33
5,7,3,75,23.83,37.37
5,7,4,48,24.38,40.08
5,7,5,56,826.35,36.8
5,7,6,109,66.88,37.1
5,7,7,248,17.99,33.58
5,7,8,551,18.08,34.68
5,7,9,910,28.23,34.75
5,7,10,1419,18.87,34.86
5,7,11,1840,24.1,35.68
5,7,12,2233,26.25,35.59
5,7,13,2628,28.25,36.13
5,7,14,2649,32.86,36.49
5,7,15,2863,34.1,36.52
5,7,16,2782,33.8,36.79
5,7,17,2556,29.62,36.87
5,7,18,2503,29.66,36.46
5,7,19,2099,28.95,35.79
5,7,20,1293,23.31,34.84
5,7,21,953,22.85,34.93
5,7,22,811,44.45,34.06
5,7,23,658,27.84,33.73
6,1,0,747,19.8,33.23
6,1,1,635,21.34,34.9
6,1,2,534,28.6,35.45
6,1,3,174,42.07,39
6,1,4,55,197.2,38.09
6,1,5,87,15.12,34.11
6,1,6,164,27.7,37.23
6,1,7,381,22.04,35.54
6,1,8,648,16.22,34.81
6,1,9,1334,25.71,35.11
6,1,10,1996,22.28,35.32
6,1,11,2076,27.46,35.45
6,1,12,2715,29.04,35.17
6,1,13,3105,38.65,35.74
6,1,14,3081,25.7,35.1
6,1,15,2679,32.03,35.7
